date,habit
2024-12-30,"German for 5m or more"
2024-12-30,"Books for 5m or more"
2024-12-30,"Free Learning or MarketWatch"
2024-12-30,"Was I kind (4 agreements)?"
2024-12-30,"No addictive products (alcohol or else)"
2024-12-30,"Proteins above 150g"
2024-12-30,"Bed time routine (self-care & massage)"
2024-12-31,"Slept 7h or more"
2024-12-31,"Morning Self-Care & Cleaning routine"
2024-12-31,"Yoga, Stretching or Core 10m or more"
2024-12-31,"Workout 15m or more"
2024-12-31,"Cold shower 1m or more"
2024-12-31,"Meditation for 5m or more"
2024-12-31,"Free Learning or MarketWatch"
2024-12-31,"Was I kind (4 agreements)?"
2024-12-31,"No addictive products (alcohol or else)"
2024-12-31,"Proteins above 150g"
2024-12-31,"Bed time routine (self-care & massage)"
2025-01-01,"Slept 7h or more"
2025-01-01,"Morning Self-Care & Cleaning routine"
2025-01-01,"Yoga, Stretching or Core 10m or more"
2025-01-01,"Workout 15m or more"
2025-01-01,"Cold shower 1m or more"
2025-01-01,"Meditation for 5m or more"
2025-01-01,"Free Learning or MarketWatch"
2025-01-01,"Certified training for 15m or more"
2025-01-01,"Was I kind (4 agreements)?"
2025-01-01,"No addictive products (alcohol or else)"
2025-01-01,"Proteins above 150g"
2025-01-02,"Slept 7h or more"
2025-01-02,"Morning Self-Care & Cleaning routine"
2025-01-02,"Yoga, Stretching or Core 10m or more"
2025-01-02,"Workout 15m or more"
2025-01-02,"Cold shower 1m or more"
2025-01-02,"Meditation for 5m or more"
2025-01-02,"German for 5m or more"
2025-01-02,"Flashcards for 5m or more"
2025-01-02,"Books for 5m or more"
2025-01-02,"Breathwork for 5m or more"
2025-01-02,"Free Learning or MarketWatch"
2025-01-02,"Certified training for 15m or more"
2025-01-02,"Screens & Social under 1h"
2025-01-02,"Was I kind (4 agreements)?"
2025-01-02,"No addictive products (alcohol or else)"
2025-01-02,"Proteins above 150g"
2025-01-02,"Bed time routine (self-care & massage)"
2025-01-03,"Slept 7h or more"
2025-01-03,"Morning Self-Care & Cleaning routine"
2025-01-03,"Yoga, Stretching or Core 10m or more"
2025-01-03,"Workout 15m or more"
2025-01-03,"Cold shower 1m or more"
2025-01-03,"Meditation for 5m or more"
2025-01-03,"Screens & Social under 1h"
2025-01-03,"Was I kind (4 agreements)?"
2025-01-03,"No addictive products (alcohol or else)"
2025-01-03,"Proteins above 150g"
2025-01-03,"Bed time routine (self-care & massage)"
2025-01-04,"Slept 7h or more"
2025-01-04,"Morning Self-Care & Cleaning routine"
2025-01-04,"Yoga, Stretching or Core 10m or more"
2025-01-04,"Workout 15m or more"
2025-01-04,"Cold shower 1m or more"
2025-01-04,"Meditation for 5m or more"
2025-01-04,"German for 5m or more"
2025-01-04,"Was I kind (4 agreements)?"
2025-01-04,"No addictive products (alcohol or else)"
2025-01-04,"Proteins above 150g"
2025-01-04,"Bed time routine (self-care & massage)"
2025-01-05,"Slept 7h or more"
2025-01-05,"Morning Self-Care & Cleaning routine"
2025-01-05,"Yoga, Stretching or Core 10m or more"
2025-01-05,"Workout 15m or more"
2025-01-05,"Cold shower 1m or more"
2025-01-05,"Meditation for 5m or more"
2025-01-06,"Slept 7h or more"
2025-01-06,"Morning Self-Care & Cleaning routine"
2025-01-06,"Yoga, Stretching or Core 10m or more"
2025-01-06,"Workout 15m or more"
2025-01-06,"Cold shower 1m or more"
2025-01-06,"Meditation for 5m or more"
2025-01-06,"Screens & Social under 1h"
2025-01-06,"Was I kind (4 agreements)?"
2025-01-06,"No addictive products (alcohol or else)"
2025-01-06,"Proteins above 150g"
2025-01-06,"Bed time routine (self-care & massage)"
2025-01-07,"Slept 7h or more"
2025-01-07,"Morning Self-Care & Cleaning routine"
2025-01-07,"Cold shower 1m or more"
2025-01-07,"Meditation for 5m or more"
2025-01-07,"Free Learning or MarketWatch"
2025-01-07,"Certified training for 15m or more"
2025-01-07,"Screens & Social under 1h"
2025-01-07,"Was I kind (4 agreements)?"
2025-01-07,"No addictive products (alcohol or else)"
2025-01-07,"Proteins above 150g"
2025-01-08,"Slept 7h or more"
2025-01-08,"Morning Self-Care & Cleaning routine"
2025-01-08,"Meditation for 5m or more"
2025-01-08,"Free Learning or MarketWatch"
2025-01-08,"Screens & Social under 1h"
2025-01-08,"Was I kind (4 agreements)?"
2025-01-08,"No addictive products (alcohol or else)"
2025-01-08,"Proteins above 150g"
2025-01-09,"Slept 7h or more"
2025-01-09,"Morning Self-Care & Cleaning routine"
2025-01-09,"Workout 15m or more"
2025-01-09,"Cold shower 1m or more"
2025-01-09,"Meditation for 5m or more"
2025-01-09,"Was I kind (4 agreements)?"
2025-01-09,"No addictive products (alcohol or else)"
2025-01-09,"Proteins above 150g"
2025-01-10,"Slept 7h or more"
2025-01-10,"Morning Self-Care & Cleaning routine"
2025-01-10,"Cold shower 1m or more"
2025-01-10,"Meditation for 5m or more"
2025-01-10,"No addictive products (alcohol or else)"
2025-01-10,"Proteins above 150g"
2025-01-10,"Bed time routine (self-care & massage)"
2025-01-11,"Slept 7h or more"
2025-01-11,"Morning Self-Care & Cleaning routine"
2025-01-11,"Meditation for 5m or more"
2025-01-11,"Flashcards for 5m or more"
2025-01-11,"Books for 5m or more"
2025-01-11,"Proteins above 150g"
2025-01-13,"Slept 7h or more"
2025-01-13,"Morning Self-Care & Cleaning routine"
2025-01-13,"Yoga, Stretching or Core 10m or more"
2025-01-13,"Workout 15m or more"
2025-01-13,"Cold shower 1m or more"
2025-01-13,"Meditation for 5m or more"
2025-01-13,"German for 5m or more"
2025-01-13,"Flashcards for 5m or more"
2025-01-13,"Books for 5m or more"
2025-01-13,"Breathwork for 5m or more"
2025-01-13,"Screens & Social under 1h"
2025-01-13,"Was I kind (4 agreements)?"
2025-01-13,"Proteins above 150g"
2025-01-13,"Bed time routine (self-care & massage)"
2025-01-14,"Slept 7h or more"
2025-01-14,"Morning Self-Care & Cleaning routine"
2025-01-14,"Yoga, Stretching or Core 10m or more"
2025-01-14,"Cold shower 1m or more"
2025-01-14,"Meditation for 5m or more"
2025-01-14,"German for 5m or more"
2025-01-14,"Flashcards for 5m or more"
2025-01-14,"Books for 5m or more"
2025-01-14,"Breathwork for 5m or more"
2025-01-14,"Free Learning or MarketWatch"
2025-01-14,"Certified training for 15m or more"
2025-01-14,"Screens & Social under 1h"
2025-01-14,"Was I kind (4 agreements)?"
2025-01-14,"Proteins above 150g"
2025-01-14,"Bed time routine (self-care & massage)"
2025-01-15,"Slept 7h or more"
2025-01-15,"Morning Self-Care & Cleaning routine"
2025-01-15,"Yoga, Stretching or Core 10m or more"
2025-01-15,"Workout 15m or more"
2025-01-15,"Cold shower 1m or more"
2025-01-15,"Meditation for 5m or more"
2025-01-15,"German for 5m or more"
2025-01-15,"Breathwork for 5m or more"
2025-01-15,"Certified training for 15m or more"
2025-01-15,"Screens & Social under 1h"
2025-01-15,"Was I kind (4 agreements)?"
2025-01-15,"Proteins above 150g"
2025-01-16,"Slept 7h or more"
2025-01-16,"Morning Self-Care & Cleaning routine"
2025-01-16,"Yoga, Stretching or Core 10m or more"
2025-01-16,"Workout 15m or more"
2025-01-16,"Cold shower 1m or more"
2025-01-16,"Meditation for 5m or more"
2025-01-16,"German for 5m or more"
2025-01-16,"Breathwork for 5m or more"
2025-01-16,"Free Learning or MarketWatch"
2025-01-16,"Certified training for 15m or more"
2025-01-16,"Screens & Social under 1h"
2025-01-16,"Was I kind (4 agreements)?"
2025-01-16,"Proteins above 150g"
2025-01-17,"Slept 7h or more"
2025-01-17,"Morning Self-Care & Cleaning routine"
2025-01-17,"Yoga, Stretching or Core 10m or more"
2025-01-17,"Workout 15m or more"
2025-01-17,"Cold shower 1m or more"
2025-01-17,"Meditation for 5m or more"
2025-01-17,"German for 5m or more"
2025-01-17,"Flashcards for 5m or more"
2025-01-17,"Books for 5m or more"
2025-01-17,"Breathwork for 5m or more"
2025-01-17,"Free Learning or MarketWatch"
2025-01-17,"Certified training for 15m or more"
2025-01-17,"Screens & Social under 1h"
2025-01-17,"Was I kind (4 agreements)?"
2025-01-17,"No addictive products (alcohol or else)"
2025-01-17,"Proteins above 150g"
2025-01-17,"Bed time routine (self-care & massage)"
2025-01-18,"Slept 7h or more"
2025-01-18,"Morning Self-Care & Cleaning routine"
2025-01-18,"Yoga, Stretching or Core 10m or more"
2025-01-18,"Workout 15m or more"
2025-01-18,"Cold shower 1m or more"
2025-01-18,"Meditation for 5m or more"
2025-01-18,"German for 5m or more"
2025-01-18,"Flashcards for 5m or more"
2025-01-18,"Books for 5m or more"
2025-01-18,"Breathwork for 5m or more"
2025-01-18,"Free Learning or MarketWatch"
2025-01-18,"Certified training for 15m or more"
2025-01-18,"Screens & Social under 1h"
2025-01-18,"Was I kind (4 agreements)?"
2025-01-18,"No addictive products (alcohol or else)"
2025-01-18,"Proteins above 150g"
2025-01-18,"Bed time routine (self-care & massage)"
2025-01-19,"Slept 7h or more"
2025-01-19,"Morning Self-Care & Cleaning routine"
2025-01-19,"Yoga, Stretching or Core 10m or more"
2025-01-19,"Workout 15m or more"
2025-01-19,"Cold shower 1m or more"
2025-01-19,"Meditation for 5m or more"
2025-01-19,"German for 5m or more"
2025-01-19,"Flashcards for 5m or more"
2025-01-19,"Books for 5m or more"
2025-01-19,"Breathwork for 5m or more"
2025-01-19,"Free Learning or MarketWatch"
2025-01-19,"Certified training for 15m or more"
2025-01-19,"Screens & Social under 1h"
2025-01-19,"Was I kind (4 agreements)?"
2025-01-19,"No addictive products (alcohol or else)"
2025-01-19,"Proteins above 150g"
2025-01-19,"Bed time routine (self-care & massage)"
2025-01-20,"Slept 7h or more"
2025-01-20,"Morning Self-Care & Cleaning routine"
2025-01-20,"Yoga, Stretching or Core 10m or more"
2025-01-20,"Meditation for 5m or more"
2025-01-20,"German for 5m or more"
2025-01-20,"Flashcards for 5m or more"
2025-01-20,"Books for 5m or more"
2025-01-20,"Breathwork for 5m or more"
2025-01-20,"Certified training for 15m or more"
2025-01-20,"Screens & Social under 1h"
2025-01-20,"Was I kind (4 agreements)?"
2025-01-20,"Proteins above 150g"
2025-01-20,"Bed time routine (self-care & massage)"
2025-01-21,"Slept 7h or more"
2025-01-21,"Morning Self-Care & Cleaning routine"
2025-01-21,"Yoga, Stretching or Core 10m or more"
2025-01-21,"Workout 15m or more"
2025-01-21,"Cold shower 1m or more"
2025-01-21,"Meditation for 5m or more"
2025-01-21,"German for 5m or more"
2025-01-21,"Flashcards for 5m or more"
2025-01-21,"Free Learning or MarketWatch"
2025-01-21,"Certified training for 15m or more"
2025-01-21,"Screens & Social under 1h"
2025-01-21,"Was I kind (4 agreements)?"
2025-01-21,"Proteins above 150g"
2025-01-21,"Bed time routine (self-care & massage)"
2025-01-22,"Slept 7h or more"
2025-01-22,"Morning Self-Care & Cleaning routine"
2025-01-22,"Yoga, Stretching or Core 10m or more"
2025-01-22,"Workout 15m or more"
2025-01-22,"Cold shower 1m or more"
2025-01-22,"Meditation for 5m or more"
2025-01-22,"German for 5m or more"
2025-01-22,"Flashcards for 5m or more"
2025-01-22,"Books for 5m or more"
2025-01-22,"Breathwork for 5m or more"
2025-01-22,"Free Learning or MarketWatch"
2025-01-22,"Certified training for 15m or more"
2025-01-22,"Screens & Social under 1h"
2025-01-22,"Was I kind (4 agreements)?"
2025-01-22,"Proteins above 150g"
2025-01-22,"Bed time routine (self-care & massage)"
2025-01-23,"Slept 7h or more"
2025-01-23,"Morning Self-Care & Cleaning routine"
2025-01-23,"Yoga, Stretching or Core 10m or more"
2025-01-23,"Workout 15m or more"
2025-01-23,"Cold shower 1m or more"
2025-01-23,"Meditation for 5m or more"
2025-01-23,"German for 5m or more"
2025-01-23,"Flashcards for 5m or more"
2025-01-23,"Books for 5m or more"
2025-01-23,"Breathwork for 5m or more"
2025-01-23,"Free Learning or MarketWatch"
2025-01-23,"Certified training for 15m or more"
2025-01-23,"Screens & Social under 1h"
2025-01-23,"Was I kind (4 agreements)?"
2025-01-23,"No addictive products (alcohol or else)"
2025-01-23,"Proteins above 150g"
2025-01-23,"Bed time routine (self-care & massage)"
2025-01-24,"Slept 7h or more"
2025-01-24,"Morning Self-Care & Cleaning routine"
2025-01-24,"Yoga, Stretching or Core 10m or more"
2025-01-24,"Workout 15m or more"
2025-01-24,"Cold shower 1m or more"
2025-01-24,"Meditation for 5m or more"
2025-01-24,"German for 5m or more"
2025-01-24,"Flashcards for 5m or more"
2025-01-24,"Books for 5m or more"
2025-01-24,"Breathwork for 5m or more"
2025-01-24,"Free Learning or MarketWatch"
2025-01-24,"Certified training for 15m or more"
2025-01-24,"Screens & Social under 1h"
2025-01-24,"Was I kind (4 agreements)?"
2025-01-24,"No addictive products (alcohol or else)"
2025-01-24,"Proteins above 150g"
2025-01-24,"Bed time routine (self-care & massage)"
2025-01-25,"Slept 7h or more"
2025-01-25,"Morning Self-Care & Cleaning routine"
2025-01-25,"Yoga, Stretching or Core 10m or more"
2025-01-25,"Workout 15m or more"
2025-01-25,"Cold shower 1m or more"
2025-01-25,"Meditation for 5m or more"
2025-01-25,"German for 5m or more"
2025-01-25,"Flashcards for 5m or more"
2025-01-25,"Books for 5m or more"
2025-01-25,"Breathwork for 5m or more"
2025-01-25,"Free Learning or MarketWatch"
2025-01-25,"Certified training for 15m or more"
2025-01-25,"Screens & Social under 1h"
2025-01-25,"Was I kind (4 agreements)?"
2025-01-25,"No addictive products (alcohol or else)"
2025-01-25,"Proteins above 150g"
2025-01-25,"Bed time routine (self-care & massage)"
